text,label
ร้านอาหารไหนอร่อยบ้าง,restaurant
Good morning!,greeting
ขอบคุณมากค่ะ,gratitude
Bye bye!,goodbye
I really appreciate it,gratitude
Is there a restaurant nearby?,restaurant
อยากไปทะเลแนะนำด้วย,travel
Where can I eat vegetarian food?,restaurant
Hello there,greeting
ขอสอบถามเส้นทางไปสนามบิน,travel
ขอเรื่องตลกคลายเครียด,joke
Say something funny!,joke
Where can I eat vegetarian food?,restaurant
ขอเมนูแนะนำด้วยครับ,restaurant
Good morning!,greeting
Where is the nearest BTS station?,travel
ร้อนจังเลยวันนี้,weather
บริการช้ามาก,complaint
สวัสดีค่ะ,greeting
Can you book a table for two?,restaurant
ขอบคุณและสวัสดี,goodbye
The internet is not working,complaint
มุกตลกวันนี้คืออะไร,joke
How do I get to the city center?,travel
ขอบคุณสำหรับคำแนะนำ,gratitude
ขอทราบพยากรณ์อากาศ,weather
ขอบคุณมากค่ะ,gratitude
ขอขอบคุณมากๆ,gratitude
How do I get to the city center?,travel
สวัสดีครับ,greeting
ช่วยแนะนำที่พักในเชียงใหม่,travel
Good to see you,greeting
ขอสอบถามเส้นทางไปสนามบิน,travel
What is the best restaurant in this area?,restaurant
You are very helpful,gratitude
You are very helpful,gratitude
มุกตลกวันนี้คืออะไร,joke
เล่าเรื่องตลกให้ฟังหน่อย,joke
แล้วเจอกันใหม่,goodbye
Where is the nearest BTS station?,travel
อากาศเย็นสบาย,weather
ขอบคุณและสวัสดี,goodbye
Goodbye!,goodbye
Tell me a joke,joke
ร้อนจังเลยวันนี้,weather
Do you know any good jokes?,joke
สวัสดีตอนเย็น,greeting
Will it be cold next week?,weather
Can you give me the forecast?,weather
ขำมากเลย,joke
ขอสอบถามเส้นทางไปสนามบิน,travel
Nice to meet you,greeting
ขอบคุณมากค่ะ,gratitude
Thank you for your assistance,gratitude
Have a nice day!,goodbye
ขอขอบคุณมากๆ,gratitude
บริการช้ามาก,complaint
ร้านอาหารไหนอร่อยบ้าง,restaurant
Goodbye!,goodbye
พรุ่งนี้ฝนจะตกไหม,weather
ขอบใจมากนะ,gratitude
Thanks a lot,gratitude
น้ำไม่ไหลในห้องน้ำ,complaint
น้ำไม่ไหลในห้องน้ำ,complaint
แล้วเจอกันใหม่,goodbye
อากาศเย็นสบาย,weather
ช่วยแนะนำสถานที่ท่องเที่ยว,travel
มีรถไฟฟ้าใกล้ๆไหม,travel
สวัสดีตอนเย็น,greeting
ห้องน้ำไม่สะอาด,complaint
อาหารเย็นเกินไป,complaint
My room is too noisy,complaint
